ENTITY,ProcessAllowed
GTA453_PC1,NON-ALTAIR
GTA453_PC2,ALTAIR
GTA453_PC3,MIX
GTA453_PC4,ALTAIR
GTA453_PC5,NON-ALTAIR
GTA453_PC6,ALTAIR
GTA457_PC1,NON-ALTAIR
GTA457_PC4,NON-ALTAIR
GTA457_PC5,NON-ALTAIR
GTA457_PC6,NON-ALTAIR
GTA467_PC1,NON-ALTAIR
GTA467_PC3,NON-ALTAIR
GTA467_PC4,ALTAIR
GTA467_PC5,NON-ALTAIR
GTA467_PC6,ALTAIR
GTA475_PC1,ALTAIR
GTA475_PC2,NON-ALTAIR
GTA475_PC3,ALTAIR
GTA475_PC4,NON-ALTAIR
GTA475_PC5,ALTAIR
GTA475_PC6,NON-ALTAIR
GTA505_PC1,ALTAIR
GTA505_PC2,NON-ALTAIR
GTA505_PC3,ALTAIR
GTA505_PC4,ALTAIR
GTA505_PC5,NON-ALTAIR
GTA505_PC6,ALTAIR
GTA511_PC1,ALTAIR
GTA511_PC2,NON-ALTAIR
GTA511_PC4,NON-ALTAIR
GTA511_PC5,NON-ALTAIR
GTA511_PC6,ALTAIR
